PKNCA,CDISC,unit_type,pretty_name,label,description,FUN,is_cdisc_sure,Dataset
AENDTF,,,Analysis End Date Imputation Flag,Analysis End Date Imputation Flag,,,ADPC,
AENTMF,,,Analysis End Time Imputation Flag,Analysis End Time Imputation Flag,,,ADPC,
ATPT,,,Analysis Timepoint,Analysis Timepoint,,,ADPC,
ATPT,,,Analysis Timepoint,Analysis Timepoint,,,ADPC,
ATPTN,,,Analysis Timepoint (N),Analysis Timepoint (N),,,ADPC,
ATPTN,,,Analysis Timepoint (N),Analysis Timepoint (N),,,ADPC,
ATPTREF,,,Analysis Timepoint Reference,Analysis Timepoint Reference,,,ADPC,
AVISIT,,,Analysis Visit,Analysis Visit,,,ADPC,
AVISIT,,,Analysis Visit,Analysis Visit,,,ADPC,
AVISITN,,,Analysis Visit (N),Analysis Visit (N),,,ADPC,
AVISITN,,,Analysis Visit (N),Analysis Visit (N),,,ADPC,
APERIOD,,,Period,Period,,,ADPC,
APERIODC,,,Period (C),Period (C),,,ADPC,
FANLDT,,,First Date of Dose for Analyte,First Date of Dose for Analyte,,,ADPC,
FANLTM,,,First Time of Dose for Analyte,First Time of Dose for Analyte,,,ADPC,
FANLDTM,,,First Datetime of Dose for Analyte,First Datetime of Dose for Analyte,,,ADPC,
FANLDTMF,,,First Time of Dose Time Imputation Flag,First Time of Dose Time Imputation Flag,,,ADPC,
FANLEDT,,,First End Date of Dose for Analyte,First End Date of Dose for Analyte,,,ADPC,
FANLETM,,,First End Time of Dose for Analyte,First End Time of Dose for Analyte,,,ADPC,
FANLEDTM,,,First End Datetime of Dose for Analyte,First End Datetime of Dose for Analyte,,,ADPC,
FANLEDTF,,,First End of Dose Time Imputation Flag,First End of Dose Time Imputation Flag,,,ADPC,
PCRFTDT,,,Reference Date of Dose for Analyte,Reference Date of Dose for Analyte,,,ADPC,
PCRFTTM,,,Reference Time of Dose for Analyte,Reference Time of Dose for Analyte,,,ADPC,
PCRFTDTM,,,Reference Datetime of Dose for Analyte,Reference Datetime of Dose for Analyte,,,ADPC,
PCRFEDT,,,Reference End Date of Dose for Analyte,Reference End Date of Dose for Analyte,,,ADPC,
PCRFETM,,,Reference End Time of Dose for Analyte,Reference End Time of Dose for Analyte,,,ADPC,
PCRFEDTM,,,Ref. End Datetime of Dose for Analyte,Ref. End Datetime of Dose for Analyte,,,ADPC,
NFRLT,,,Nom. Rel. Time from Analyte First Dose,Nom. Rel. Time from Analyte First Dose,,,ADPC,
AFRLT,,,Act. Rel. Time from Analyte First Dose,Act. Rel. Time from Analyte First Dose,,,ADPC,
TMPCTDF,,,Percent Diff. Nominal vs. Actual Time,Percent Diff. Nominal vs. Actual Time,,,ADPC,
FRLTU,,,Rel. Time from First Dose Unit,Rel. Time from First Dose Unit,,,ADPC,
NEFRLT,,,Nom. Rel. End Time from First Dose,Nom. Rel. End Time from First Dose,,,ADPC,
AEFRLT,,,Act. Rel. End Time from First Dose,Act. Rel. End Time from First Dose,,,ADPC,
NRRLT,,,Nominal Rel. Time from Ref. Dose,Nominal Rel. Time from Ref. Dose,,,ADPC,
ARRLT,,,Actual Rel. Time from Ref. Dose,Actual Rel. Time from Ref. Dose,,,ADPC,
MRRLT,,,Modified Rel. Time from Ref. Dose,Modified Rel. Time from Ref. Dose,,,ADPC,
RRLTU,,,Rel. Time from Ref. Dose Unit,Rel. Time from Ref. Dose Unit,,,ADPC,
NERRLT,,,Nominal Rel. End Time from Ref. Dose,Nominal Rel. End Time from Ref. Dose,,,ADPC,
NERRLT,,,Nominal Rel. End Time from Ref. Dose,Nominal Rel. End Time from Ref. Dose,,,ADPC,
AERRLT,,,Actual Rel. End Time from Ref. Dose,Actual Rel. End Time from Ref. Dose,,,ADPC,
AERRLT,,,Actual Rel. End Time from Ref. Dose,Actual Rel. End Time from Ref. Dose,,,ADPC,
MERRLT,,,Modified Rel. End Time from Ref. Dose,Modified Rel. End Time from Ref. Dose,,,ADPC,
MERRLT,,,Modified Rel. End Time from Ref. Dose,Modified Rel. End Time from Ref. Dose,,,ADPC,
CHG,,,Change from Baseline,Change from Baseline,,,ADPC,
CRIT1,,,Analysis Criterion 1,Analysis Criterion 1,,,ADPC,
CRIT1FL,,,Criterion 1 Evaluation Result Flag,Criterion 1 Evaluation Result Flag,,,ADPC,
CRIT1FL,,,Criterion 1 Evaluation Result Flag,Criterion 1 Evaluation Result Flag,,,ADPC,
DTYPE,,,Derivation Type,Derivation Type,,,ADPC,
SPARSFL,,,Sparse Flag,Sparse Flag,,,ADPC,
NCAXFL,,,PK NCA Exclusion Flag,PK NCA Exclusion Flag,,,ADPC,
NCAXFN,,,PK NCA Exclusion Flag (N),PK NCA Exclusion Flag (N),,,ADPC,
NCAwXRS,,,Reason w for PK NCA Exclusion,Reason w for PK NCA Exclusion,,,ADPC,
NCAwXRSN,,,Reason for PK NCA Exclusion of w (N),Reason for PK NCA Exclusion of w (N),,,ADPC,
PKSUMXF,,,PK Summary Exclusion Flag,PK Summary Exclusion Flag,,,ADPC,
PKSUMXFN,,,PK Summary Exclusion Flag (N),PK Summary Exclusion Flag (N),,,ADPC,
METABFL,,,Metabolite Flag,Metabolite Flag,,,ADPC,
COHORT,,,Subject Cohort,Subject Cohort,,,ADPC,
COHORTN,,,Subject Cohort (N),Subject Cohort (N),,,ADPC,
ROUTE,,,Route,Route,,,ADPC,
TRTRINT,,,Planned Treatment Interval,Planned Treatment Interval,,,ADPC,
TRTRINTU,,,Planned Treatment Interval Units,Planned Treatment Interval Units,,,ADPC,
DOSPCTDF,,,Percent Diff. Nominal vs. Actual Dose,Percent Diff. Nominal vs. Actual Dose,,,ADPC,
DOSEFRQ,,,Dose Frequency,Dose Frequency,,,ADPC,
DOSEP,,,Planned Treatment Dose,Planned Treatment Dose,,,ADPC,
DOSEA,,,Actual Treatment Dose,Actual Treatment Dose,,,ADPC,
DOSEPU,,,Planned Treatment Dose Units,Planned Treatment Dose Units,,,ADPC,
DOSEAU,,,Actual Treatment Dose Units,Actual Treatment Dose Units,,,ADPC,
ACYCLE,,,Analysis Cycle,Analysis Cycle,,,ADPC,
ACYCLEC,,,Analysis Cycle (C),Analysis Cycle (C),,,ADPC,
ADOSEDUR,,,Actual Duration of Treatment Dose,Actual Duration of Treatment Dose,,,ADPC,
NDOSEDUR,,,Nominal duration of Treatment Dose,Nominal duration of Treatment Dose,,,ADPC,
DOSEDURU,,,Duration of Treatment Dose Units,Duration of Treatment Dose Units,,,ADPC,
VOLUME,,,Volume Value,Volume Value,,,ADPC,
VOLUMEU,,,Volume Value Unit,Volume Value Unit,,,ADPC,
SPWEIGHT,,,Specimen Weight Value,Specimen Weight Value,,,ADPC,
SPWEIGHU,,,Specimen Weight Value Unit,Specimen Weight Value Unit,,,ADPC,
WTBL,,,Weight at Baseline,Weight at Baseline,,,ADPC,
HTBL,,,Height at Baseline,Height at Baseline,,,ADPC,
IBWBL,,,Ideal Body Weight (IBW) at Baseline,Ideal Body Weight (IBW) at Baseline,,,ADPC,
LBMBL,,,Lean Body Mass (LBM) at Baseline,Lean Body Mass (LBM) at Baseline,,,ADPC,
BMIBL,,,BMI at Baseline,BMI at Baseline,,,ADPC,
BSABL,,,BSA at Baseline,BSA at Baseline,,,ADPC,
SBPBL,,,Systolic BP at Baseline,Systolic BP at Baseline,,,ADPC,
DBPBL,,,Diastolic BP at Baseline,Diastolic BP at Baseline,,,],
TOBBL,,,Smoking Status at Baseline,Smoking Status at Baseline,,,ADPC,
ALCOBL,,,Alcohol at Baseline,Alcohol at Baseline,,,ADPC,
TEMPBL,,,Temperature at Baseline,Temperature at Baseline,,,ADPC,
PULSBL,,,Pulse rate at Baseline,Pulse rate at Baseline,,,ADPC,
ADA,,,Treatment Emergent ADA status,Treatment Emergent ADA status,,,ADPC,
AAGBL,,,Alpha-1 Acid Glycoprotein at Baseline,Alpha-1 Acid Glycoprotein at Baseline,,,ADPC,
CREATBL,,,Creatinine at Baseline (BLOOD),Creatinine at Baseline (BLOOD),,,ADPC,
CRCLBL,,,CrCL at Baseline,CrCL at Baseline,,,ADPC,
ALBUBL,,,Albumin at Baseline,Albumin at Baseline,,,ADPC,
EOSBL,,,Eosinophils at Baseline,Eosinophils at Baseline,,,ADPC,
BUNBL,,,Blood Urea Nitrogen at Baseline,Blood Urea Nitrogen at Baseline,,,ADPC,
CALCBL,,,Calcium at Baseline,Calcium at Baseline,,,ADPC,
CLBL,,,Chloride at Baseline,Chloride at Baseline,,,ADPC,
PHBL,,,Phosphate at Baseline,Phosphate at Baseline,,,ADPC,
PLATEBL,,,Platelet Count at Baseline,Platelet Count at Baseline,,,ADPC,
WBCBL,,,WBC Count at Baseline,WBC Count at Baseline,,,ADPC,
GGTBL,,,GGT at Baseline,GGT at Baseline,,,ADPC,
GLUCBL,,,Glucose at Baseline,Glucose at Baseline,,,ADPC,
HCTBL,,,Hematocrit at Baseline,Hematocrit at Baseline,,,ADPC,
HGBBL,,,Hemoglobin at Baseline,Hemoglobin at Baseline,,,ADPC,
ALKPHBL,,,Alkaline Phosphatase at Baseline,Alkaline Phosphatase at Baseline,,,ADPC,
KBL,,,Potassium at Baseline,Potassium at Baseline,,,ADPC,
LYMBL,,,Lymphocytes at Baseline,Lymphocytes at Baseline,,,ADPC,
MONOBL,,,Monocytes at Baseline,Monocytes at Baseline,,,ADPC,
NABL,,,Sodium at Baseline,Sodium at Baseline,,,ADPC,
NEUBL,,,Neutrophils at Baseline,Neutrophils at Baseline,,,ADPC,
RBCBL,,,RBC Count at Baseline,RBC Count at Baseline,,,ADPC,
TBILIBL,,,Bilirubin at Baseline (BLOOD),Bilirubin at Baseline (BLOOD),,,ADPC,
TPROTBL,,,Total Protein at Baseline (BLOOD),Total Protein at Baseline (BLOOD),,,ADPC,
SGOTBL,,,SGOT-AST at Baseline,SGOT-AST at Baseline,,,ADPC,
SGPTBL,,,SGPT-ALT at Baseline,SGPT-ALT at Baseline,,,ADPC,
RRBL,,,RR Duration at Baseline,RR Duration at Baseline,,,ADPC,
PRBL,,,PR Duration at Baseline,PR Duration at Baseline,,,ADPC,
QRSBL,,,QRS Duration at Baseline,QRS Duration at Baseline,,,ADPC,
QTBL,,,QT duration at Baseline,QT duration at Baseline,,,ADPC,
QTCBBL,,,QTcB at Baseline,QTcB at Baseline,,,ADPC,
QTCFBL,,,QTcF at Baseline,QTcF at Baseline,,,ADPC,
HRBL,,,Heart Rate at Baseline,Heart Rate at Baseline,,,ADPC,
WTBLU,,,Weight at Baseline (Unit),Weight at Baseline (Unit),,,ADPC,
HTBLU,,,Height at Baseline (Unit),Height at Baseline (Unit),,,ADPC,
IBWBLU,,,IBW at Baseline (Unit),IBW at Baseline (Unit),,,ADPC,
LBWBLU,,,LBM at Baseline (Unit),LBM at Baseline (Unit),,,ADPC,
BMIBLU,,,BMI at Baseline (Unit),BMI at Baseline (Unit),,,ADPC,
BSABLU,,,BSA at Baseline (Unit),BSA at Baseline (Unit),,,ADPC,
SBPBLU,,,Systolic BP at Baseline (Unit),Systolic BP at Baseline (Unit),,,ADPC,
DBPBLU,,,Diastolic BP at Baseline (Unit),Diastolic BP at Baseline (Unit),,,ADPC,
TOBBLU,,,Smoking Status at Baseline (Unit),Smoking Status at Baseline (Unit),,,ADPC,
PULSBLU,,,Pulse rate at Baseline (Unit),Pulse rate at Baseline (Unit),,,ADPC,
AAGBLU,,,AAG at baseline (Unit),AAG at baseline (Unit),,,ADPC,
CREATBLU,,,Creat at baseline (BLOOD),Creat at baseline (BLOOD),,,ADPC,
CRCLBLU,,,CrCL at baseline (BLOOD),CrCL at baseline (BLOOD),,,ADPC,
ALBUBLU,,,Albumin at baseline (Unit),Albumin at baseline (Unit),,,ADPC,
EOSBLU,,,Eosinophils at baseline (Unit),Eosinophils at baseline (Unit),,,ADPC,
BUNBLU,,,Blood Urea Nitrogen at baseline (Unit),Blood Urea Nitrogen at baseline (Unit),,,ADPC,
CALCBLU,,,Calcium at baseline (Unit),Calcium at baseline (Unit),,,ADPC,
CLBLU,,,Chloride at baseline (Unit),Chloride at baseline (Unit),,,ADPC,
PHBLU,,,Phosphate at baseline (Unit),Phosphate at baseline (Unit),,,ADPC,
PLATEBLU,,,Platelet Count at baseline (Unit),Platelet Count at baseline (Unit),,,ADPC,
WBCBLU,,,WBC Count at baseline (Unit),WBC Count at baseline (Unit),,,ADPC,
GGTBLU,,,GGT at Baseline (Unit),GGT at Baseline (Unit),,,ADPC,
GLUBLU,,,Glucose at Baseline (Unit),Glucose at Baseline (Unit),,,ADPC,
HCTBLU,,,HCT at Baseline (Unit),HCT at Baseline (Unit),,,ADPC,
HGBBLU,,,HGB at Baseline (Unit),HGB at Baseline (Unit),,,ADPC,
ALKPHBLU,,,Alkaline Phosphatase at Baseline (Unit),Alkaline Phosphatase at Baseline (Unit),,,ADPC,
KBLU,,,Potassium at Baseline (Unit),Potassium at Baseline (Unit),,,ADPC,
LYMBLU,,,Lymphocytes at Baseline (Unit),Lymphocytes at Baseline (Unit),,,ADPC,
MONOBLU,,,Monocytes at Baseline (Unit),Monocytes at Baseline (Unit),,,ADPC,
NABLU,,,Sodium at Baseline (Unit),Sodium at Baseline (Unit),,,ADPC,
NEUBLU,,,Neutrophils at Baseline (Unit),Neutrophils at Baseline (Unit),,,ADPC,
RBCBLU,,,RBC Count at Baseline (Unit),RBC Count at Baseline (Unit),,,ADPC,
TBILIBLU,,,Bilirubin at Baseline (Unit),Bilirubin at Baseline (Unit),,,ADPC,
TPROTBLU,,,Total Protein at Baseline (Unit),Total Protein at Baseline (Unit),,,ADPC,
SGOTBLU,,,SGOT-AST at Baseline (Unit),SGOT-AST at Baseline (Unit),,,ADPC,
SGPTBLU,,,SGPT-ALT at Baseline (Unit),SGPT-ALT at Baseline (Unit),,,ADPC,
RRBLU,,,RR Duration at Baseline (Unit),RR Duration at Baseline (Unit),,,ADPC,
PRBLU,,,PR Duration at Baseline (Unit),PR Duration at Baseline (Unit),,,ADPC,
QRSBLU,,,QRS Duration at Baseline (Unit),QRS Duration at Baseline (Unit),,,ADPC,
QTBLU,,,QT Duration at Baseline (Unit),QT Duration at Baseline (Unit),,,ADPC,
QTCBBLU,,,QTcB at Baseline (Unit),QTcB at Baseline (Unit),,,ADPC,
QTCFBLU,,,QTcF at Baseline (Unit),QTcF at Baseline (Unit),,,ADPC,
HRBLU,,,Heart Rate at Baseline (Unit),Heart Rate at Baseline (Unit),,,ADPC,
DRUG,,,Medication Name,Medication Name,,,ADPC,
REGIME,,,Regimen of Medication,Regimen of Medication,,,ADPC,
FRMUL,,,Treatment Formulation,Treatment Formulation,,,ADPC,
DOSNO,,,Dose Number,Dose Number,,,ADPC,
FEDSTATE,,,Fasted / Fed Status,Fasted / Fed Status,,,ADPC,
ANL01FL,,,Analysis Flag 01,Analysis Flag 01,,,ADPC,
ANL02FL,,,Analysis Flag 02,Analysis Flag 02,,,ADPC,
ANL03FL,,,Analysis Flag 03,Analysis Flag 03,,,ADPC,
ANL04FL,,,Analysis Flag 04,Analysis Flag 04,,,ADPC,
ANL05FL,,,Analysis Flag 05,Analysis Flag 05,,,ADPC,
STUDYID,,,Study Identifier,Study Identifier,,,ADPP,
USUBJID,,,Unique Subject Identifier,Unique Subject Identifier,,,ADPP,
SUBJID,,,Subject Identifier for the Study,Subject Identifier for the Study,,,ADPP,
SITEID,,,Study Site Identifier,Study Site Identifier,,,ADPP,
ASEQ,,,Analysis Sequence Number,Analysis Sequence Number,,,ADPP,
REGION1,,,Geographic Region 1,Geographic Region 1,,,ADPP,
COUNTRY,,,Country,Country,,,ADPP,
ETHNIC,,,Ethnicity,Ethnicity,,,ADPP,
AGE,,,Age,Age,,,ADPP,
AGEU,,,Age Units,Age Units,,,ADPP,
AAGE,,,Analysis Age,Analysis Age,,,ADPP,
AAGEU,,,Analysis Age Unit,Analysis Age Unit,,,ADPP,
AGEGR1,,,Pooled Age Group 1,Pooled Age Group 1,,,ADPP,
AGEGR2,,,Pooled Age Group 2,Pooled Age Group 2,,,ADPP,
AGEGR3,,,Pooled Age Group 3,Pooled Age Group 3,,,ADPP,
STRATwNM,,,Description of Stratum w,Description of Stratum w,,,ADPP,
STRATw,,,Randomized Value of Stratum w,Randomized Value of Stratum w,,,ADPP,
STRATwV,,,Verified Value of Stratum w,Verified Value of Stratum w,,,ADPP,
SEX,,,Sex,Sex,,,ADPP,
RACE,,,Race,Race,,,ADPP,
ITTFL,,,Intent-To-Treat Population Flag,Intent-To-Treat Population Flag,,,ADPP,
SAFFL,,,Safety Population Flag,Safety Population Flag,,,ADPP,
PPROTFL,,,Per-Protocol Population Flag,Per-Protocol Population Flag,,,ADPP,
TRT01P,,,Planned Treatment for Period 01,Planned Treatment for Period 01,,,ADPP,
TRTxxP,,,Planned Treatment for Period xx,Planned Treatment for Period xx,,,ADPP,
TRT01A,,,Actual Treatment for Period 01,Actual Treatment for Period 01,,,ADPP,
TRTxxA,,,Actual Treatment for Period xx,Actual Treatment for Period xx,,,ADPP,
TRTSEQP,,,Planned Sequence of Treatments,Planned Sequence of Treatments,,,ADPP,
TRTSEQA,,,Actual Sequence of Treatments,Actual Sequence of Treatments,,,ADPP,
TRTSDTM,,,Datetime of First Exposure to Treatment,Datetime of First Exposure to Treatment,,,ADPP,
TRTSDT,,,Date of First Exposure to Treatment,Date of First Exposure to Treatment,,,ADPP,
TRTEDTM,,,Datetime of Last Exposure to Treatment,Datetime of Last Exposure to Treatment,,,ADPP,
TRTEDT,,,Date of Last Exposure to Treatment,Date of Last Exposure to Treatment,,,ADPP,
DCUTDT,,,Date of Data Cut,Date of Data Cut,,,ADPP,
PPSEQ,,,Sequence Number,Sequence Number,,,ADPP,
PPGRPID,,,Group ID,Group ID,,,ADPP,
PPSPID,,,Sponsor-Defined Identifier,Sponsor-Defined Identifier,,,ADPP,
PPTESTCD,,,Parameter Short Name,Parameter Short Name,,,ADPP,
PPTEST,,,Parameter Name,Parameter Name,,,ADPP,
PPCAT,,,Parameter Category,Parameter Category,,,ADPP,
PPSCAT,,,Parameter Subcategory,Parameter Subcategory,,,ADPP,
PPSTRESC,,,Character Result/Finding in Std Format,Character Result/Finding in Std Format,,,ADPP,
PPSTRESN,,,Numeric Result/Finding in Standard Units,Numeric Result/Finding in Standard Units,,,ADPP,
PPSTRESU,,,Standard Units,Standard Units,,,ADPP,
PPSTAT,,,Completion Status,Completion Status,,,ADPP,
PPREASND,,,Reason Parameter Not Calculated,Reason Parameter Not Calculated,,,ADPP,
PPSPEC,,,Specimen Material Type,Specimen Material Type,,,ADPP,
PPDTC,,,Date/Time of Parameter Calculations,Date/Time of Parameter Calculations,,,ADPP,
PPRFTDTC,,,Date/Time of Reference Point,Date/Time of Reference Point,,,ADPP,
PPSTINT,,,Planned Start of Assessment Interval,Planned Start of Assessment Interval,,,ADPP,
PPENINT,,,Planned End of Assessment Interval,Planned End of Assessment Interval,,,ADPP,
PARAM,,,Parameter,Parameter,,,ADPP,
PARAMCD,,,Parameter Code,Parameter Code,,,ADPP,
PARCAT1,,,Parameter Category 1,Parameter Category 1,,,ADPP,
PARCAT1,,,Parameter Category 1,Parameter Category 1,,,ADPP,
AVAL,,,Analysis Value,Analysis Value,,,ADPP,
AVALU,,,Analysis Value Unit,Analysis Value Unit,,,ADPP,
AVALC,,,Analysis Value (C),Analysis Value (C),,,ADPP,
ADTM,,,Analysis Datetime,Analysis Datetime,,,ADPP,
ADT,,,Analysis Date,Analysis Date,,,ADPP,
ATM,,,Analysis Time,Analysis Time,,,ADPP,
ADY,,,Analysis Relative Day,Analysis Relative Day,,,ADPP,
ADTF,,,Analysis Date Imputation Flag,Analysis Date Imputation Flag,,,ADPP,
ATMF,,,Analysis Time Imputation Flag,Analysis Time Imputation Flag,,,ADPP,
ATPT,,,Analysis Timepoint,Analysis Timepoint,,,ADPP,
ATPT,,,Analysis Timepoint,Analysis Timepoint,,,ADPP,
ATPTN,,,Analysis Timepoint (N),Analysis Timepoint (N),,,ADPP,
ATPTN,,,Analysis Timepoint (N),Analysis Timepoint (N),,,ADPP,
AVISIT,,,Analysis Visit,Analysis Visit,,,ADPP,
AVISIT,,,Analysis Visit,Analysis Visit,,,ADPP,
AVISITN,,,Analysis Visit (N),Analysis Visit (N),,,ADPP,
AVISITN,,,Analysis Visit (N),Analysis Visit (N),,,ADPP,
ANALYTE,,,Analyte,Analyte,,,ADPC,
EVID,,,Event ID,Event ID,,,ADPC,
DOSEU,,,Treatment Dose Units,Treatment Dose Units,,,ADPC,
